ADM0_NAME,country,value,metric,flow_name
Abyei,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Afghanistan,Afghanistan,7.406595818909382,cf_mean,se_rate_25km_Barley_irr_roff_rt
Aksai Chin,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Albania,Albania,16.700696665392957,cf_mean,se_rate_25km_Barley_irr_roff_rt
Algeria,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
American Samoa,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Andorra,Andorra,24.55199649663511,cf_mean,se_rate_25km_Barley_irr_roff_rt
Angola,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Anguilla,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Antarctica,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Antigua and Barbuda,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Argentina,Argentina,2.195851074409807,cf_mean,se_rate_25km_Barley_irr_roff_rt
Armenia,Armenia,4.429228233379362,cf_mean,se_rate_25km_Barley_irr_roff_rt
Aruba,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Arunachal Pradesh,Arunachal Pradesh,98.3123607726015,cf_mean,se_rate_25km_Barley_irr_roff_rt
Ashmore and Cartier Islands,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Australia,Australia,2.132963187233484,cf_mean,se_rate_25km_Barley_irr_roff_rt
Austria,Austria,5.823417547745423,cf_mean,se_rate_25km_Barley_irr_roff_rt
Azerbaijan,Azerbaijan,3.832986379483106,cf_mean,se_rate_25km_Barley_irr_roff_rt
Azores Islands,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Bahamas,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Bahrain,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Baker Island,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Bangladesh,Bangladesh,14.228020128049245,cf_mean,se_rate_25km_Barley_irr_roff_rt
Barbados,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Bassas da India,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Belarus,Belarus,0.22626173199311014,cf_mean,se_rate_25km_Barley_irr_roff_rt
Belgium,Belgium,0.7307641587062802,cf_mean,se_rate_25km_Barley_irr_roff_rt
Belize,Belize,16.932484682478954,cf_mean,se_rate_25km_Barley_irr_roff_rt
Benin,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Bermuda,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Bhutan,Bhutan,95.17955034273282,cf_mean,se_rate_25km_Barley_irr_roff_rt
Bird Island,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Bolivia,Bolivia,19.444447611364463,cf_mean,se_rate_25km_Barley_irr_roff_rt
Bosnia and Herzegovina,Bosnia and Herzegovina,4.7141894929979875,cf_mean,se_rate_25km_Barley_irr_roff_rt
Botswana,Botswana,0.8906641535979745,cf_mean,se_rate_25km_Barley_irr_roff_rt
Bouvet Island,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Brazil,Brazil,9.86469605442105,cf_mean,se_rate_25km_Barley_irr_roff_rt
British Indian Ocean Territory,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
British Virgin Islands,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Brunei Darussalam,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Bulgaria,Bulgaria,2.6284551982109825,cf_mean,se_rate_25km_Barley_irr_roff_rt
Burkina Faso,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Burundi,Burundi,18.04728638170318,cf_mean,se_rate_25km_Barley_irr_roff_rt
Cambodia,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Cameroon,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Canada,Canada,1.3464898603177944,cf_mean,se_rate_25km_Barley_irr_roff_rt
Cape Verde,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Cayman Islands,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Central African Republic,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Chad,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Chile,Chile,8.136440964470841,cf_mean,se_rate_25km_Barley_irr_roff_rt
China,China,16.276633159267917,cf_mean,se_rate_25km_Barley_irr_roff_rt
China/India,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Christmas Island,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Clipperton Island,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Cocos (Keeling) Islands,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Colombia,Colombia,8.702683711681921,cf_mean,se_rate_25km_Barley_irr_roff_rt
Comoros,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Congo,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Cook Islands,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Costa Rica,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Croatia,Croatia,5.394492926216203,cf_mean,se_rate_25km_Barley_irr_roff_rt
Cuba,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Cyprus,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Czech Republic,Czech Republic,2.117851017634188,cf_mean,se_rate_25km_Barley_irr_roff_rt
Côte d'Ivoire,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Dem People's Rep of Korea,Dem People's Rep of Korea,27.724603126365192,cf_mean,se_rate_25km_Barley_irr_roff_rt
Democratic Republic of the Congo,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Denmark,Denmark,0.20952742754364218,cf_mean,se_rate_25km_Barley_irr_roff_rt
Djibouti,Djibouti,4.497284373163014,cf_mean,se_rate_25km_Barley_irr_roff_rt
Dominica,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Dominican Republic,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Ecuador,Ecuador,44.08498995082152,cf_mean,se_rate_25km_Barley_irr_roff_rt
Egypt,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
El Salvador,El Salvador,59.28749280521337,cf_mean,se_rate_25km_Barley_irr_roff_rt
Equatorial Guinea,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Eritrea,Eritrea,1.5602302574004314,cf_mean,se_rate_25km_Barley_irr_roff_rt
Estonia,Estonia,0.13832267205560067,cf_mean,se_rate_25km_Barley_irr_roff_rt
Ethiopia,Ethiopia,11.634238333049115,cf_mean,se_rate_25km_Barley_irr_roff_rt
Europa Island,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Falkland Islands (Malvinas),,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Faroe Islands,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Fiji,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Finland,Finland,0.5875345000665388,cf_mean,se_rate_25km_Barley_irr_roff_rt
France,France,3.3016496085241687,cf_mean,se_rate_25km_Barley_irr_roff_rt
French Guiana,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
French Polynesia,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
French Southern and Antarctic Territories,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Gabon,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Gambia,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Gaza Strip,Gaza Strip,0.13196331943960793,cf_mean,se_rate_25km_Barley_irr_roff_rt
Georgia,Georgia,12.187021021576426,cf_mean,se_rate_25km_Barley_irr_roff_rt
Germany,Germany,1.0536110110863512,cf_mean,se_rate_25km_Barley_irr_roff_rt
Ghana,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Gibraltar,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Glorioso Island,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Greece,Greece,8.175644578376172,cf_mean,se_rate_25km_Barley_irr_roff_rt
Greenland,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Grenada,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Guadeloupe,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Guam,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Guatemala,Guatemala,29.692320584465875,cf_mean,se_rate_25km_Barley_irr_roff_rt
Guernsey,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Guinea,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Guinea-Bissau,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Guyana,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Haiti,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Hala'ib triangle,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Heard Island and McDonald Islands,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Holy See,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Honduras,Honduras,13.37909768552572,cf_mean,se_rate_25km_Barley_irr_roff_rt
Hong Kong,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Howland Island,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Hungary,Hungary,0.6840655406708448,cf_mean,se_rate_25km_Barley_irr_roff_rt
Iceland,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Ilemi triangle,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
India,India,10.410541115166465,cf_mean,se_rate_25km_Barley_irr_roff_rt
Indonesia,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Iran  (Islamic Republic of),Iran  (Islamic Republic of),1.6381457386439395,cf_mean,se_rate_25km_Barley_irr_roff_rt
Iraq,Iraq,2.6471015183442317,cf_mean,se_rate_25km_Barley_irr_roff_rt
Ireland,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Isle of Man,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Israel,Israel,2.4061721046847016,cf_mean,se_rate_25km_Barley_irr_roff_rt
Italy,Italy,10.212236865586817,cf_mean,se_rate_25km_Barley_irr_roff_rt
Jamaica,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Jammu and Kashmir,Jammu and Kashmir,26.43644121617114,cf_mean,se_rate_25km_Barley_irr_roff_rt
Japan,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Jarvis Island,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Jersey,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Johnston Atoll,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Jordan,Jordan,0.6223807952517943,cf_mean,se_rate_25km_Barley_irr_roff_rt
Juan de Nova Island,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Kazakhstan,Kazakhstan,0.26572272220952053,cf_mean,se_rate_25km_Barley_irr_roff_rt
Kenya,Kenya,13.783482127922658,cf_mean,se_rate_25km_Barley_irr_roff_rt
Kingman Reef,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Kiribati,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Kuril islands,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Kuwait,,,cf_mean,se_rate_25km_Barley_irr_roff_rt
Kyrgyzstan,Kyrgyzstan,6.887986651382118,cf_mean,se_rate_25km_Barley_irr_roff_rt
Lao People's Democratic Republic,Lao People's Democratic Republic,50.182108651271115,cf_mean,se_rate_25km_Barley_irr_roff_rt
